SkuPartNumber,MonthlyPriceEUR
SPE_E3,34.90
SPE_E5,55.20
MICROSOFT365_E3,34.90
MICROSOFT365_E5,55.20
ENTERPRISEPACK,23.20
ENTERPRISEPREMIUM,38.40
ENTERPRISEPREMIUM_NOPSTNCONF,38.40
SPB,22.60
O365_BUSINESS_PREMIUM,12.50
SMB_BUSINESS_PREMIUM,12.50
M365_BUSINESS_STANDARD,12.50
O365_BUSINESS_ESSENTIALS,6.00
SMB_BUSINESS_ESSENTIALS,6.00
M365_BUSINESS_BASIC,6.00
O365_BUSINESS,11.50
SMB_BUSINESS,11.50
OFFICESUBSCRIPTION,13.20
M365_F1,1.90
SPE_F1,6.90
DESKLESSPACK,3.68
STANDARDPACK,8.70
EXCHANGESTANDARD,4.00
EXCHANGEENTERPRISE,8.00
EXCHANGEDESKLESS,1.00
MCOEV,8.00
MCOCAP,2.50
MCOMEETADV,0.00
MCOPSTN1,12.00
MCOPSTN2,24.00
EMS,10.30
EMSPREMIUM,16.40
AAD_PREMIUM,6.00
AAD_PREMIUM_P2,9.00
INTUNE_A,8.80
ATP_ENTERPRISE,2.00
THREAT_INTELLIGENCE,5.00
WIN_DEF_ATP,5.20
DEFENDER_ENDPOINT_P1,2.70
DEFENDER_ENDPOINT_P2,5.20
ATA,5.50
ADALLOM_STANDALONE,3.50
IDENTITY_THREAT_PROTECTION,10.40
IDENTITY_THREAT_PROTECTION_FOR_EMS_E5,10.40
INFORMATION_PROTECTION_COMPLIANCE,10.40
Microsoft_Teams_Premium,10.00
Microsoft_Teams_EEA_New,7.40
POWER_BI_PRO,9.40
POWER_BI_PREMIUM_P,18.70
VISIOCLIENT,14.60
VISIOONLINE_PLAN1,4.70
PROJECTPROFESSIONAL,29.30
PROJECTPREMIUM,52.80
PROJECTESSENTIALS,7.00
RIGHTSMANAGEMENT,2.00
WIN10_PRO_ENT_SUB,7.00
WIN10_VDA_E5,11.60
Microsoft_365_Copilot,26.00
Microsoft_365_Copilot_Business,26.00
MICROSOFT_SECURITY_COPILOT,4.00
MEETING_ROOM,28.50
DEFENDER_ENDPOINT_P1_FLW,2.70
DEFENDER_ENDPOINT_P2_FLW,5.20
MDO_P1_FLW,2.00
MDO_P2_FLW,5.00
DEFENDER_SUITE_FLW,6.00
PURVIEW_SUITE_FLW,6.00
M365_DEFENDER_SUITE_BUSINESS,6.00
M365_PURVIEW_SUITE_BUSINESS,6.00
SPE_F5_SEC,7.40
SPE_F5_COMP,7.40
SPE_F5_SECCOMP,12.00
M365_SECURITY_COMPLIANCE_FOR_FLW,15.00
ENTRA_ID_GOVERNANCE,7.00
ENTRA_SUITE,10.40
INTUNE_SUITE,8.70
INTUNE_REMOTE_HELP,3.50
INTUNE_ADVANCED_ANALYTICS,3.00
INTUNE_EPM,3.00
Microsoft_Intune_Endpoint_Privilege_Management,3.00
EXCHANGE_ARCHIVE,3.00
POWER_BI_PREMIUM_PER_USER,22.50
POWERAPPS_PER_USER,18.70
POWERAPPS_PER_APP,4.70
POWER_AUTOMATE_PER_USER,14.00
POWER_AUTOMATE_PREMIUM,14.00
POWER_PAGES_AUTHENTICATED,93.70
COPILOT_STUDIO,187.50
FLOW_FREE,0.00
POWER_BI_STANDARD,0.00
POWERAPPS_VIRAL,0.00
POWERAPPS_DEV,0.00
FLOW_P2_VIRAL,0.00
TEAMS_EXPLORATORY,0.00
TEAMS_FREE,0.00
STREAM,0.00
RIGHTSMANAGEMENT_ADHOC,0.00
WINDOWS_STORE,0.00
MCOPSTNC,0.00
PHONESYSTEM_VIRTUALUSER,0.00
SPE_E5_NOPSTNCONF,52.00
EXCHANGEARCHIVE_ADDON,2.38
MDE_SMB,2.80
TEAMS_ESSENTIALS_AAD,3.50
SHAREPOINTENTERPRISE,12.43
SHAREPOINTSTANDARD,4.30
WACONEDRIVEENTERPRISE,9.30
WACONEDRIVESTANDARD,4.30
EOP_ENTERPRISE,0.91
Microsoft_Teams_Rooms_Pro,37.40
Microsoft_Teams_Rooms_Basic,0.00
ADALLOM_O365,3.10
WIN10_VDA_E3,11.20
VIVA,10.40
Microsoft_Copilot_for_Sales,15.60
POWERAUTOMATE_ATTENDED_RPA,11.19
TVM_Premium_Add_on,1.73
TVM_Premium_Standalone,2.60
OFFICE_PROPLUS_DEVICE1,8.40
INTUNE_A_D,1.82
INTUNE_SMB,6.90
Microsoft_365_E3_(no_Teams),32.84
Microsoft_365_E5_(no_Teams),51.90
Microsoft_365_F3_EEA_(no_Teams),6.14
Office_365_E1_(no_Teams),5.32
O365_w/o_Teams_Bundle_E3,14.24
Microsoft_365_Business_Basic_EEA_(no_Teams),3.80
MICROSOFT_365_BUSINESS_STANDARD_NO_TEAMS,8.00
Teams_Ess,3.50
MCOPSTN5,4.30
MCOSTANDARD,6.90
MCOEVSMB_1,7.10
Microsoft_Teams_Audio_Conferencing_select_dial_out,0.90
EXCHANGEARCHIVE,2.38
EXCHANGE_S_ESSENTIALS,1.82
EXCHANGEESSENTIALS,3.48
MDATP_Server,4.12
MDATP_XPLAT,4.35
Workload_Identities_P2,2.60
SPE_E3_RPA1,84.00
M365_F1_COMM,1.88
PBI_PREMIUM_PER_USER_ADDON,8.50
SHAREPOINTSTORAGE,0.16
UNIVERSAL_PRINT,22.65
STANDARDWOFFPACK,13.25
ENTERPRISEWITHSCAL,23.00
LITEPACK,4.10
LITEPACK_P2,10.80
MIDSIZEPACK,12.50
MCOTEAMS_ESSENTIALS,3.33
Microsoft_Defender_for_Endpoint_F2,2.65
Clipchamp_Premium,6.74
Microsoft_Viva_Goals,5.20
TOPIC_EXPERIENCES,3.50
ADV_COMMS,10.10
Power_Automate_per_process,118.76
FLOW_PER_USER,11.19
Power_Virtual_Agents,173.30
MFA_STANDALONE,1.10
EQUIVIO_ANALYTICS,6.90
DEVELOPERPACK_E5,55.20
DEVELOPERPACK,0.00
CPC_E_1C_2GB_64GB,23.00
